company_name,description,linkedin,website,employees_raw,employee_count,industry,summary,has_estimators,decision_makers,lead_count,relevant_lead_count,is_qualified,qualification_reason,enrichment_status,icp_match
Aisin World Corp. of America,"Manufacturer of automotive equipment, supplies and related products. Selection includes automotive body components, brakes, chassis, drivetrain products, engines, engine components, electronics, power generation systems, shower toilets, bedding, cooling devices, heating devices and aftermarket supplies.",https://www.linkedin.com/company/aisin-world-corp--of-america,https://www.aisinworld.com,"201-500 (U.S.); ~14,000 (North America)",201,Motor Vehicle Manufacturing,"Aisin World Corp. of America is the North American sales headquarters of AISIN Corporation, a global Tier One supplier of automotive parts, providing a diverse range of products including automotive body components, brakes, drivetrain products, engines, electronics, power generation systems, and aftermarket supplies, with a strong focus on innovation, quality, and sustainability.",No,,6.0,0.0,False,"Confidence score 9.5 >= 7.0; Employee count 201 (from '201-500 (U.S.); ~14,000 (North America)') >= 10; No estimator detected: No estimators found in titles or company details; ICP mismatch: no, because aisin world corp. focuses exclusively on automotive parts manufacturing rather than door; No decision makers found",Success,"No, because Aisin World Corp. focuses exclusively on automotive parts manufacturing rather than door supply or manufacturing, which is the focus of companies like Overly Door Co., Acudor Products, Inc., and voestalpine Roll Forming Corporation."
"Lavalley Building Supply, Inc.","Distributor of garage doors & openers available in different models including ceiling & wall mount that eliminate belts, chains, screw drive & track. Garage doors are available with different panel designs.",https://www.linkedin.com/company/lavalley-building-supply-llc,https://www.lavalleys.com,201-500,201,Building Materials Distributor/Retailer,"Lavalley Building Supply, Inc. is a New England-based family-owned building materials distributor and retailer established in 1962, specializing in garage doors, openers, and various construction and home improvement materials with 15 store locations primarily in New Hampshire and Vermont.",No,,5.0,0.0,False,"Confidence score 9.0 >= 7.0; Employee count 201 (from '201-500') >= 10; No estimator detected: No estimators found in titles or company details; ICP mismatch: no, because lavalley building supply is primarily a distributor and retailer rather than a manufactu; No decision makers found",Success,"No, because Lavalley Building Supply is primarily a distributor and retailer rather than a manufacturer like Overly Door Co., Acudor Products, Inc., or voestalpine Roll Forming Corporation."
Star Lumber Co.,"Prefabricated Roof Trusses, Retail Lumber, Building Mat., Remodeling",https://www.linkedin.com/company/star-lumber,https://www.starlumber.com,201-500 employees (approx. 225 on LinkedIn),201,Construction / Building Materials,"Star Lumber Co. is a family-owned, multi-location regional building materials supplier established in 1939 based in Kansas and Oklahoma, offering a broad range of products including prefabricated roof and floor trusses, retail lumber, doors, windows, cabinetry, flooring, hardware, and millwork serving homebuilders, remodelers, architects, and commercial contractors.",No explicit evidence of DIV 8 estimators specializing in door/frame/hardware cost estimation; general estimators and sales roles exist but no dedicated DIV 8 estimator confirmed.,,5.0,0.0,False,Confidence score 9.5 >= 7.0; Employee count 201 (from '201-500 employees (approx. 225 on LinkedIn)') >= 10; Has estimator: Found estimator in employee titles; ICP mismatch: no; star lumber co. is broader in building materials supply and not a specialized door supplier or m; No decision makers found,Success,"No; Star Lumber Co. is broader in building materials supply and not a specialized door supplier or manufacturer like Overly Door Co., Acudor Products, or voestalpine Roll Forming Corporation."
HMF Express,"Custom manufacturer of hollow metals doors and frames for the construction industry. Access, bullet resistant, dutch, louvers, lead lined, monorail, screen, swinging and wind doors are offered. Angle and wall frames are also offered. Made from galvanized (G-90), cold-rolled and stainless steel materials. UL listed.",https://www.linkedin.com/company/hmf-express,https://www.hmfexpress.com/,201-500,201,Wholesale Building Materials,"HMF Express is a custom manufacturer specializing in hollow metal doors and frames for the construction industry, offering a wide variety of specialized door types and materials with UL listing and quick-ship capabilities.",Not confirmed; likely but requires further verification.,,4.0,0.0,False,"Confidence score 9.0 >= 7.0; Employee count 201 (from '201-500') >= 10; Has estimator: not confirmed; likely but requires further verification.; ICP match: yes, similar to overly door co., acudor products, inc., and voestalpine roll forming corporation due; No decision makers found",Success,"Yes, similar to Overly Door Co., Acudor Products, Inc., and voestalpine Roll Forming Corporation due to product type, market focus, and industry alignment."
Kountry Wood Products,"Manufacturer of wood products. Products include cabinets, doors, shelves, drawers and accessories. Applications include kitchens, bathrooms, residential and commercial.",https://www.linkedin.com/company/kountry-wood-products,https://www.kountrywood.com,Estimated 200-500 employees (LinkedIn shows about 80 employees),200,"Wood Product Manufacturing, specializing in cabinetry, moldings, doors, shelves, bathroom and kitchen cabinetry","Kountry Wood Products is a family-owned manufacturer based in Nappanee, Indiana, producing stock kitchen and bath cabinetry, doors, shelves, drawers and accessories made primarily from American-grown wood. Founded in 1998, they serve residential and commercial markets, emphasizing quality, American-made materials, and excellent customer service.",No,,7.0,0.0,False,Confidence score 9.3 >= 7.0; Employee count 200 (from 'Estimated 200-500 employees (LinkedIn shows about 80 employees)') >= 10; No estimator detected: No estimators found in titles or company details; ICP match: yes; the company is similar to other door suppliers and manufacturers such as overly door co. and ac; No decision makers found,Success,"Yes; the company is similar to other door suppliers and manufacturers such as Overly Door Co. and Acudor Products, Inc. due to its door product offerings, but Kountry Wood Products differs by focusing broadly on cabinetry including kitchen and bathroom cabinets and emphasizing American-made and locally sourced wood products."
"Tamarack Materials, Inc.","Distributor of building products for commercial applications. Drywall, building envelopes, lumber, steel framings, access doors, insulations, acoustical ceilings and panels are available. Fasteners, studs, grids, headers, sheathings, surfacers, tools, patches and plaster are also available. Beads, steel angles and channels are provided.",https://www.linkedin.com/company/tamarack-materials-inc/,https://tamarackmaterials.com,Approximately 175-200,175,Building Materials Distribution,"Tamarack Materials, Inc. is a regional distributor of a broad range of building materials including drywall, lumber, steel framing, access doors, insulation, acoustical ceilings, and related commercial and residential construction products.",No,,7.0,0.0,False,Confidence score 9.5 >= 7.0; Employee count 175 (from 'Approximately 175-200') >= 10; No estimator detected: No estimators found in titles or company details; ICP mismatch: no; tamarack materials is a broad building materials distributor rather than a specialized door supp; No decision makers found,Success,No; Tamarack Materials is a broad building materials distributor rather than a specialized door supplier or manufacturer like Overly Door Co. or Acudor Products.
"Plantation Marble,  Inc.","Manufacturer of cast marble products. Types include tubs, alcoves, showers, shower floors, vanities, glass doors and enclosures, mirrors, shower heads, grab bars, ramps, walls, ceilings, trim, soap dishes, shelves, corner and bench seats and store fronts.",,https://plantationmarblenola.com,~160,160,Masonry Contractor specializing in cultured cast marble bathroom fixtures and remodeling products,"Plantation Marble, Inc. manufactures cultured cast marble bathroom fixtures including tubs, showers, vanities, glass doors and enclosures, serving the bathroom remodeling market, located in Harahan, Louisiana.",No,,0.0,0.0,False,"Confidence score 8.5 >= 7.0; Employee count 160 (from '~160') >= 10; No estimator detected: No estimators found in titles or company details; ICP match: no, plantation marble, inc. is not similar to door suppliers or manufacturers like overly door co., ; No decision makers found",Success,"No, Plantation Marble, Inc. is not similar to door suppliers or manufacturers like Overly Door Co., Acudor Products, or voestalpine Roll Forming because it focuses on cultured marble bathroom fixtures rather than doors, frames, or hardware."
Standard Companies,"Distributor of lumbers and building materials. Products include cabinets, countertops, deckings, doors, wall panels, railings, sidings and windows. Engineered wooden products, hardware, tools and wall panels are also available. Made from aluminum, steel, wooden, vinyl, brass and copper. Suitable for kitchen, bathroom, mudroom, offices, interior and exterior applications. Custom trusses are also offered. Secondary services such as door hanging, design and installation are provided. Serves remodelers and custom builders.",https://www.linkedin.com/company/standard-companies,https://standardcompanies.com,150-200,150,Building materials and lumber distribution,"Standard Companies is a Michigan-based distributor of lumber and building materials, offering a wide range of products including doors, cabinets, countertops, and hardware. They provide value-added services such as door hanging, design, installation, and custom truss manufacturing to remodelers and custom builders.",Yes,,1.0,0.0,False,"Confidence score 9.0 >= 7.0; Employee count 150 (from '150-200') >= 10; Has estimator: yes; ICP mismatch: no, standard companies is primarily a distributor and service provider rather than a manufacturer li; No decision makers found",Success,"No, Standard Companies is primarily a distributor and service provider rather than a manufacturer like Overly Door Co., Acudor Products, or voestalpine Roll Forming Corp."
Tharp Cabinet Corp.,"Custom manufacturer of cabinets for commercial and residential sectors. Products include woods, finishes, countertops, doors, drawers and doors. Markets served include kitchens, bathrooms, theaters, offices/bookcases, closets, garage/utilities, and wall beds/built-ins.",https://www.linkedin.com/company/tharp-cabinet-corporation,https://tharpcabinets.com,Approximately 130 full-time employees,130,Custom Cabinet Manufacturing for Residential and Commercial sectors,"Family-owned, handcrafted custom cabinetry manufacturer with 50+ years serving Colorado and Wyoming markets, offering broad cabinet products including doors, emphasizing quality craftsmanship and comprehensive cabinetry solutions.",No,,11.0,0.0,False,Confidence score 9.0 >= 7.0; Employee count 130 (from 'Approximately 130 full-time employees') >= 10; No estimator detected: No estimators found in titles or company details; ICP mismatch: no; No decision makers found,Success,No
CDF Distributors,"Distributor of hollow metal, wood, storefront, steel and fire rated doors. Wood doors are available in  autumn oak, mahogany, and cherry. Door hardware and frames are also available.",https://www.linkedin.com/company/cdf-distributors,https://www.cdfdistributors.com,Approximately 124 employees,124,"Construction distribution specializing in commercial door, frame & hardware distribution","CDF Distributors is a technology-enabled commercial door and hardware distributor offering hollow metal, wood (autumn oak, mahogany, cherry), storefront, steel, and fire-rated doors, along with door hardware and frames. They provide fast quotes and nationwide delivery through their proprietary automated quoting tool 'Pro Builder'.","Yes, Romar Pohlmann as Project Estimator/Sales confirms presence of estimation capabilities related to Division 8 (doors, frames, hardware).",,4.0,0.0,False,Confidence score 9.5 >= 7.0; Employee count 124 (from 'Approximately 124 employees') >= 10; Has estimator: Found estimator in employee titles; ICP match: yes. cdf distributors shares significant overlap in product offerings and market focus with door sup; No decision makers found,Success,"Yes. CDF Distributors shares significant overlap in product offerings and market focus with door suppliers like Overly Door Co., Acudor Products, and voestalpine Roll Forming Corporation due to their range of commercial door products and distribution model, with differentiation via proprietary quoting technology and expedited shipping."
"A.J. Manufacturing, Inc.","Manufacturer Of Air Handling Unit Access Doors, 4-Way Universal Swing, Prehung, Prefinished, Insulated Steel And/Or Aluminum Service Doors For Light Commercial & Agricultural Buildings; Insulated Storm Doors",https://www.linkedin.com/company/a.j.-manufacturing-inc,https://ajdoor.com,115,115,Wholesale Building Materials and Manufacturing,"A.J. Manufacturing, Inc. is a mid-sized manufacturer specializing in insulated air handling unit access doors and steel/aluminum service doors for light commercial and agricultural buildings. They emphasize durable, high-quality American-made products with proprietary construction and a 5-year warranty.",No explicit evidence of dedicated DIV 8 estimators; estimation is likely handled within sales or operations.,,5.0,0.0,False,"Confidence score 9.5 >= 7.0; Employee count 115 (from '115') >= 10; Has estimator: no explicit evidence of dedicated div 8 estimators; estimation is likely handled within sales or operations.; ICP match: yes, a.j. manufacturing is similar to door suppliers like overly door co. and acudor products, inc. ; No decision makers found",Success,"Yes, A.J. Manufacturing is similar to door suppliers like Overly Door Co. and Acudor Products, Inc. due to their focus on specialty insulated doors for commercial and agricultural buildings."
Navy Island Plywood,Manufacturer Of Plywood & Veneered Panels,https://www.linkedin.com/company/navy-island-inc,https://www.navyisland.com,Approximately 98 (LinkedIn estimate between 51-200),98,"Manufacturer of plywood, veneered architectural wood panels, and acoustic solutions","Navy Island Inc is a leading family-owned manufacturer established in 1983 in West St. Paul, Minnesota, specializing in high-quality architectural wood products including plywood, veneered panels, fire-rated wood doors and frames, moldings, and acoustic panels under the SoundPly brand, recognized for innovation and craftsmanship.","Yes, the company employs estimators with DIV 8 estimation skills (Johanna Ehmke, Anthony Jasso) and sales/estimating lead (Tim Kephart).",,9.0,0.0,False,Confidence score 9.0 >= 7.0; Employee count 98 (from 'Approximately 98 (LinkedIn estimate between 51-200)') >= 10; Has estimator: Found estimator in employee titles; ICP mismatch: no. navy island inc is not primarily a door supplier or manufacturer like overly door co. or acudor ; No decision makers found,Success,"No. Navy Island Inc is not primarily a door supplier or manufacturer like Overly Door Co. or Acudor Products, Inc. Their focus is broader on architectural wood panels and acoustic products, with some overlapping estimating capabilities in door components."
United Building Materials,"Distributor of building and acoustical products for commercial applications. Adhesives, anchors, trash bags, access doors, drills, grids, warning labels, tapes, nails, staples, screws, drywall, plaster, sheathing, tile and insulation are available. Eyeglasses, hand and power tools are also offered.",https://www.linkedin.com/company/united-building-materials,https://unitedbuildingmaterials.com/,~75 employees,75,Building Materials Distribution,A multi-location distributor of broad construction and building materials serving commercial and residential construction customers in Ohio and Indiana since 1971.,No,,5.0,0.0,False,Confidence score 8.0 >= 7.0; Employee count 75 (from '~75 employees') >= 10; No estimator detected: No estimators found in titles or company details; ICP mismatch: no. the company is a broad building materials distributor and not a specialized door supplier/manufa; No decision makers found,Success,No. The company is a broad building materials distributor and not a specialized door supplier/manufacturer.
Vector Windows,"Manufacturer of doors and windows for builders. Products include full-view patio doors, extension jamb, awning, single and double-hung windows. Offered with sound transmittance and tempered glasses. Custom sizing options are available.",https://www.linkedin.com/company/vector-windows,https://vectorwindows.com,~72 employees,72,Manufacturing (Vinyl Windows and Doors),"Vector Windows is a manufacturer of vinyl doors and windows based in Fergus Falls, MN, specializing in products for builders and light commercial markets including full-view patio doors, awning, single and double-hung windows with options for sound transmittance, tempered glass, and custom sizing. The company emphasizes energy efficiency, customization, and quick delivery, catering primarily to the Upper Midwest regional market.",No explicit evidence of DIV 8 estimators on staff; estimation functions may be integrated within operations or purchasing roles.,,5.0,0.0,False,Confidence score 9.2 >= 7.0; Employee count 72 (from '~72 employees') >= 10; No estimator detected: No estimators found in titles or company details; ICP match: yes. the company is similar to other door/window manufacturers like overly door co. and acudor produ; No decision makers found,Success,"Yes. The company is similar to other door/window manufacturers like Overly Door Co. and Acudor Products, Inc. in terms of product scope and market focus, though Vector Windows differentiates itself by serving the Upper Midwest region and by emphasizing customization and quick delivery to builders."
TNR Industrial Doors,"Manufacturer of industrial and commercial rubber roll-up doors. Types include access, breakaway, rolling, and garage doors. Attributes include; self-supporting steel mounting angles, frame mounted thru-beam sensors, and soft start, soft stop capability using inverter technology. Applications and industries; manufacturing, mines, docks, food processing, warehouse, automotive, parking garages, airports & railways.",https://www.linkedin.com/company/hormannnorthamerica,http://www.tnrdoors.com,"Approximately 71-118 employees in Canada, ~86 in Barrie location; around 300 employees including Hörmann North America operations on LinkedIn",71,"Manufacturing (industrial door manufacturing, specifically architectural and structural metals manufacturing, fabricated metal product manufacturing)","Manufacturer specializing in industrial and commercial rubber roll-up doors featuring advanced technologies like inverter soft start/stop and integrated sensors, serving diverse heavy industries across North America.",No direct confirmation found; no public evidence of Division 8 estimators on staff.,,4.0,0.0,False,"Confidence score 8.5 >= 7.0; Employee count 71 (from 'Approximately 71-118 employees in Canada, ~86 in Barrie location; around 300 employees including Hörmann North America operations on LinkedIn') >= 10; No estimator detected: No estimators found in titles or company details; ICP match: yes. tnr industrial doors matches the icp of other industrial door manufacturers like overly door co; No decision makers found",Success,"Yes. TNR Industrial Doors matches the ICP of other industrial door manufacturers like Overly Door Co., Acudor Products, Inc., and voestalpine Roll Forming Corporation due to product focus on industrial and commercial doors, but with specialized rubber roll-up doors and advanced features."
Architectural Doors and Windows,"Custom manufacturer of glass, curtain walls, doors and entrances. Products include handrails, tent walls, sunshades, storefronts and skylights. Markets served include office, retail, medical, education, public sectors.",https://www.linkedin.com/company/ad&w-architectural-doors-&-windows,https://a-d-w.biz/,Approximately 70-88 (LinkedIn range 51-200),70,Construction - Commercial Glass and Doors Fabrication and Installation,"Architectural Doors and Windows (ADW) is a well-established, privately held manufacturer and installer specializing in custom glass, curtain walls, doors, entrances, handrails, tent walls, sunshades, storefronts, and skylights serving office, retail, medical, education, and public sectors primarily in New England. Founded in 1946 as Portland Glass, ADW is recognized for its Division 8 estimating expertise and is the largest non-union commercial glass installer north of Boston.","Yes, employs Division 8 estimators including Head Estimator Patricia Mahoney and others.",,5.0,0.0,False,"Confidence score 9.5 >= 7.0; Employee count 70 (from 'Approximately 70-88 (LinkedIn range 51-200)') >= 10; Has estimator: Found estimator in employee titles; ICP match: yes. adw is similar to other door suppliers and manufacturers like overly door co., acudor products,; No decision makers found",Success,"Yes. ADW is similar to other door suppliers and manufacturers like Overly Door Co., Acudor Products, Inc., and voestalpine Roll Forming Corporation due to comparable product lines (doors, frames, hardware, storefronts, curtain walls), market served (commercial sectors), and scale (mid-sized enterprise)."
Waukegan Gurnee Glass Company,"Custom manufacturer of doors and glass enclosures. Products include window screens, sun shades, cabinets, table top, storm doors and windows, storefronts, curtain walls, stairs and hand rails.",https://www.linkedin.com/company/waukegan-gurnee-glass,https://www.wgglass.com/,Approximately 70-100 employees estimated; LinkedIn shows 11-50 employees,70,Construction specializing in glass and door manufacturing and installation,Custom manufacturer and installer specializing in doors and glass enclosures for residential and commercial customers.,"Yes, Michael Pope is a Commercial Estimator and Project Manager with Division 8 estimator responsibilities.",,4.0,0.0,False,"Confidence score 9.5 >= 7.0; Employee count 70 (from 'Approximately 70-100 employees estimated; LinkedIn shows 11-50 employees') >= 10; Has estimator: Found estimator in employee titles; ICP match: yes, similar to overly door co. and acudor products due to focus on custom door products and commerc; No decision makers found",Success,"Yes, similar to Overly Door Co. and Acudor Products due to focus on custom door products and commercial glazing."
Kountry Wood Products,"Manufacturer of wood products. Products include cabinets, doors, shelves, drawers and accessories. Applications include kitchens, bathrooms, residential and commercial.",https://www.linkedin.com/company/kountry-wood-products,https://kountrywood.com/,Approximately 70-100,70,Wood products and cabinetry manufacturing,"Manufacturer of American-made cabinetry including cabinets, doors, shelves, and accessories for kitchens, bathrooms, residential and commercial applications.",No,,7.0,0.0,False,"Confidence score 9.5 >= 7.0; Employee count 70 (from 'Approximately 70-100') >= 10; No estimator detected: No estimators found in titles or company details; ICP mismatch: partial - while the company manufactures doors, it primarily focuses on cabinetry and broader wood p; No decision makers found",Success,"Partial - while the company manufactures doors, it primarily focuses on cabinetry and broader wood products unlike specialized door/frame/hardware suppliers such as Overly Door Co., Acudor Products, and voestalpine Roll Forming Corporation."
